"Variable / Field Name";"Form Name";"Section Header";"Field Type";"Field Label";"Choices, Calculations, OR Slider Labels";"Field Note";"Text Validation Type OR Show Slider Number";"Text Validation Min";"Text Validation Max";Identifier?;"Branching Logic (Show field only if...)";"Required Field?";"Custom Alignment";"Question Number (surveys only)";"Matrix Group Name";"Matrix Ranking?";"Field Annotation"
alc_period_start;dp_next;;text;"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Hvornår </span>startede<span style=""font-weight: normal;""> perioden hvor du havde dit højeste forbrug af alkohol?</span></p></div>";;"angiv ca. årstal (fx 1980)";integer;1950;2030;;"([alc_prev_daily_use] = '1') and ([participate] = '1')";;LV;;;;
alc_period_start_2;dp_next;;text;"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Hvornår </span>sluttede<span style=""font-weight: normal;""> perioden hvor du havde dit højeste forbrug af alkohol?</span></p> <p><span style=""font-weight: normal;"">(hvis perioden varede mindre end et år kan du skrive samme start- og slut år)</span></p></div>";;"angiv ca. årstal (fx 1990)";integer;1950;2030;;"([alc_prev_daily_use] = '1') and ([participate] = '1')";;LV;;;;
alc_end;dp_next;"<div class=""rich-text-field-label""><p><span style=""font-size: 14pt;"">Social kontakt</span></p></div>";text;;;;datetime_seconds_dmy;;;;;;;;;;" @HIDDEN-SURVEY @NOW"
alc_compl_time;dp_next;;calc;;"datediff([self_rate_end],[alc_end],""s"",true)";;;;;;;;;;;;" @HIDDEN-SURVEY"
lonely_single;dp_next;;radio;"<div class=""rich-text-field-label""><p>Angiv den svarmulighed som passer bedst på dig i forhold til følgende udsagn:<br><br>""Jeg er ofte alene / har få kontakter""</p></div>";"0, Nej, det passer ikke|1, Ja, det passer, men jeg lider ikke under det|2, Ja, det passer, og jeg lider lidt under det|3, Ja, det passer, og jeg lider moderat under det|4, Ja, det passer, og jeg lider meget under det";;;;;;;;LV;;;;
social_support;dp_next;;radio;"Har du nogen i dit netværk (fx venner, familie, bekendte eller professionelle), som du kan tale med, hvis du har problemer eller brug for støtte?";"1, Ja | 2, Nej";;;;;;;;LV;;;;" @HIDDEN-SURVEY
@HIDDEN-SURVEY"
contact_helpwithprob;dp_next;;radio;"Hvor ofte er du i kontakt med disse personer?";"1, Dagligt eller næsten dagligt|2, 3-4 gange om ugen|3, 1-2 gange om ugen|4, 1-2 gange om måneden|5, Sjældnere end 1 gang om måneden|6, Aldrig";;;;;;"([social_support] = '1') and ([participate] = '1')";;LV;;;;" @HIDDEN-SURVEY
@HIDDEN-SURVEY"
social_end;dp_next;"<div class=""rich-text-field-label""><p><span style=""font-size: 14pt;"">Familiehistorik</span></p></div>";text;;;;datetime_seconds_dmy;;;;;;;;;;" @HIDDEN-SURVEY @NOW"
social_compl_time;dp_next;;calc;;"datediff([alc_end],[social_end],""s"",true)";;;;;;;;;;;;" @HIDDEN-SURVEY"
family;dp_next;;descriptive;"Følgende spørgsmål omhandler din families helbredshistorie. Selvom du er rask nu, vil kendskabet til din families helbredshistorie give vigtige ledetråde til dit fremtidige helbred.";;;;;;;;;;;;;
delphi_parents_known;dp_next;;radio;"Hvor mange af dine biologiske forældre kender du?";"0, Ingen|1, Min biologiske far|2, Min biologiske mor|3, Både min biologiske far og mor";;;;;;;;LV;;;;"number of known biological parents"
father;dp_next;;descriptive;"<div class=""rich-text-field-label""><p><span style=""font-size: 12pt;"">Følgende spørgsmål handler om din fars helbredshistorik</span></p></div>";;;;;;;"([delphi_parents_known] = '1' or [delphi_parents_known] = '3') and ([participate] = '1')";;;;;;"father's health"
delphi_father_health;dp_next;;descriptive;"Har/havde din far nogle af følgende helbredsproblemer? ";;;;;;;"([delphi_parents_known] = '1' or [delphi_parents_known] = '3') and ([participate] = '1')";;;;;;"father's health"
father_alcohol_substance;dp_next;;radio;"Alkohol og/eller stofmisbrug";"1, Ja | 0, Nej | 99, Ved ikke";;;;;;"([delphi_parents_known] = '1' or [delphi_parents_known] = '3') and ([participate] = '1')";;;;mg_06e95f;;"did the participant's father drink or use drugs"
father_overweight;dp_next;;radio;Overvægt;"1, Ja | 0, Nej | 99, Ved ikke";;;;;;"([delphi_parents_known] = '1' or [delphi_parents_known] = '3') and ([participate] = '1')";;;;mg_06e95f;;"was the participant's father overweight"
body_type_father;dp_next;;descriptive;"Nedenfor ses en række figurer, der illustrerer forskellige kropsbygninger:";;;;;;;"([delphi_parents_known] = '1' or [delphi_parents_known] = '3') and ([participate] = '1')";;;;;;
body_number_father;dp_next;;radio;"Sæt markering ved det nummer, der kommer tættest på din fars kropsbygning ud fra ovenstående illustrationer: ";"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9";;;;;;"([delphi_parents_known] = '1' or [delphi_parents_known] = '3') and ([participate] = '1')";;LV;;;;
father_diabetes;dp_next;;radio;"Har/havde din far diabetes ";"1, Ja | 0, Nej | 99, Ved ikke";;;;;;"([delphi_parents_known] = '1' or [delphi_parents_known] = '3') and ([participate] = '1')";;LV;;;;
delphi_father_dmtype;dp_next;;radio;"Hvilken type diabetes? ";"1, Type-1 diabetes | 2, Type-2 diabetes | 99, Ved ikke hvilken type";;;;;;"([father_diabetes] = '1') and ([participate] = '1')";;LV;;;;
